summary_index,summary_sent,01-sentence,01-avgF1_rouge,02-overlap-sentence,02-overlap-avgF1_rouge,03-overlap-sentence,03-overlap-avgF1_rouge
0/0:0,"Prospects were dim for resolution of the political crisis in Cambodia in October 1998.
","2/6:``The major political crisis in the country has been resolved and the political deadlock facing the nation has also come to an end,'' the king said in his statement.
",0.21932,,,,
0/1:1,"Prime Minister Hun Sen insisted that talks take place in Cambodia while opposition leaders Ranariddh and Sam Rainsy, fearing arrest at home, wanted them abroad.
","9/2:Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.
",0.2704933333333333,,,,
0/2:2,"King Sihanouk declined to chair talks in either place.
","7/0:King Norodom Sihanouk has declined requests to chair a summit of Cambodia's top political leaders, saying the meeting would not bring any progress in deadlocked negotiations to form a government.
",0.21754333333333334,,,,
0/3:3,"A U.S. House resolution criticized Hun Sen's regime while the opposition tried to cut off his access to loans.
","7/5:Hun Sen used Thursday's anniversary of a peace agreement ending the country's civil war to pressure the opposition to form a coalition government with his party.
",0.2596566666666667,,,,
0/4:4,"But in November the King announced a coalition government with Hun Sen heading the executive and Ranariddh leading the parliament.
","8/7:Ranariddh, whose FUNCINPEC party finished a close second in the election, returned last week and struck a deal with Hun Sen to form a coalition government.
",0.2924933333333333,,,,
0/5:5,"Left out, Sam Rainsy sought the King's assurance of Hun Sen's promise of safety and freedom for all politicians.
","6/4:In a letter to King Norodom Sihanouk _ the prince's father and Cambodia's head of state _ that was broadcast on television Tuesday, Hun Sen said that guarantees of safety extended to Ranariddh applied to all politicians.
",0.27709,"5/18:Sam Rainsy, a virulent critic of Hun Sen, and his party's 14 other members of parliament have remained outside Cambodia since September amid fears for their security.
",0.21284333333333336,,
1/0:6,"Cambodian elections, fraudulent according to opposition parties, gave the CPP of Hun Sen a scant majority but not enough to form its own government.
","7/7:Hun Sen's party won 64 of the 122 seats in parliament in July's national election, but not the two-thirds majority necessary to form a government on its own.
",0.32909666666666665,"9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
",0.20230666666666663,,
1/1:7,"Opposition leaders fearing arrest, or worse, fled and asked for talks outside the country.
","9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
",0.3021433333333334,"3/10:Fearing arrest, many opposition members of Parliament left Cambodia after the ceremonial opening of the National Assembly on Sep. 24.
",0.15714333333333333,,
1/3:9,"The UN found evidence of rights violations by Hun Sen prompting the US House to call for an investigation.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",0.19730666666666666,,,,
1/4:10,"The three-month governmental deadlock ended with Han Sen and his chief rival, Prince Norodom Ranariddh sharing power.
","6/3:But a deal reached between Hun Sen and his chief rival, Prince Norodom Ranariddh, on forming a new government last week has opened the door for their return.
",0.3669266666666667,"2/0:Cambodia's bickering political parties broke a three-month deadlock Friday and agreed to a coalition government leaving strongman Hun Sen as sole prime minister, King Norodom Sihanouk announced.
",0.16343333333333332,"1/11:The monitoring ended Sept. 30.
",0.17778000000000002
1/5:11,"Han Sen guaranteed safe return to Cambodia for all opponents but his strongest critic, Sam Rainsy, remained wary.
","6/10:Ranariddh told reporters Wednesday that he believed it was safe for Sam Rainsy in Cambodia.
",0.20332000000000003,,,,
1/6:12,"Chief of State King Norodom Sihanouk praised the agreement.
","2/5:Chea Sim will still serve as acting head of state during the king's frequent absences from the country.
",0.2161233333333333,,,,
17,"FUNCINPEC refuses to share the presidency.
",,,,,,
2/0:13,"Cambodian prime minister Hun Sen rejects demands of 2 opposition parties for talks in Beijing after failing to win a 2/3 majority in recent elections.
","9/0:Cambodian leader Hun Sen on Friday rejected opposition parties' demands for talks outside the country, accusing them of trying to ``internationalize'' the political crisis.
",0.3083333333333333,,,,
2/1:14,"Sihanouk refuses to host talks in Beijing.
","7/17:Sihanouk is reportedly set to fly to Beijing next month to receive medical treatment from his Chinese doctors.
",0.16,,,,
2/2:15,"Opposition parties ask the Asian Development Bank to stop loans to Hun Sen's government.
","1/0:Cambodia's two-party opposition asked the Asian Development Bank Monday to stop providing loans to the incumbent government, which it calls illegal.
",0.5321633333333332,"9/3:Hun Sen, however, rejected that.
",0.2657333333333333,,
2/3:16,"CCP defends Hun Sen to the US Senate.
","7/21:Hun Sen ordered police to break up the demonstrations.
",0.35817000000000004,,,,
2/5:18,"Hun Sen and Ranariddh eventually form a coalition at summit convened by Sihanouk.
","0/2:Uncompromising enemies just a few months ago, Hun Sen and FUNCINPEC President Prince Norodom Ranariddh agreed Nov. 13 to form a government at a summit convened by Sihanouk.
",0.46029000000000003,,,,
2/6:19,"Hun Sen remains prime minister, Ranariddh is president of the national assembly, and a new senate will be formed.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",0.5563733333333333,"5/11:The parties are to form working groups this week to divide remaining government posts and draft a constitutional amendment to form a new Senate.
",0.2689766666666667,,
2/7:20,"Opposition leader Rainsy left out.
","5/17:Ranariddh's ally, Sam Rainsy, whose party placed a distant third in the election, was left out of last week's deal.
",0.17481333333333335,"6/8:``It should be easy for them to say, `Rainsy and the SRP members of the assembly have no charges against them and will not be arrested,''' the opposition leader said in a statement.
",0.09368666666666665,,
21,"He seeks strong assurance of safety should he return to Cambodia.
",,,,,,
3/0:22,"Cambodia King Norodom Sihanouk praised formation of a coalition of the Countries top two political parties, leaving strongman Hun Sen as Prime Minister and opposition leader Prince Norodom Ranariddh president of the National Assembly.
","8/8:The agreement will make Hun Sen prime minister and Ranariddh president of the National Assembly.
",0.44,"7/0:King Norodom Sihanouk has declined requests to chair a summit of Cambodia's top political leaders, saying the meeting would not bring any progress in deadlocked negotiations to form a government.
",0.2464666666666667,,
3/1:23,"The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
","2/22:The CPP fell short of the two-thirds majority needed to form a government alone.
",0.30117,,,,
3/2:24,"Opposition leader Sam Rainey was seeking assurances that he and his party members would not be arrested if they return to Cambodia.
","6/0:Cambodian leader Hun Sen has guaranteed the safety and political freedom of all politicians, trying to ease the fears of his rivals that they will be arrested or killed if they return to the country.
",0.27071,"4/7:Ranariddh and his core supporters did not return to Cambodia until a few months before an election in July this year that the ruling party narrowly won.
",0.20421999999999998,,
3/3:25,"Rainey had been accused by Hun Sen of being behind an assassination attempt against him during massive street demonstrations in September.
","8/4:The alleged assassination attempt came during massive street demonstrations organized by the opposition after Hun Sen's Cambodian People's Party narrowly won the election.
",0.29314666666666667,,,,
8,"Han Sen refused.
",,,,,,
